relativePath,status,raw-egraph,raw-egraph-debruijn,java-egglog,java-egglog-debruijn,slotted-egraph,canonical,typed-slotted-port-egraph
"classroom_fol/correct/gSuKMQFdS42oCHckt_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/gjn7ycQkjz88wTkXN_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/gy4v8D52Yn8bHgY59_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/gyG47bvL4LBRYEjaG_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/h9qgANFcAgKJAi787_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/hAaAoZhXfzGBp3qgd_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/hP94XARWn6WEdCSDG_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/hPstvNST6NsdJL2gr_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/hQnDA6JhEr9CjL4f6_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/hmqoSPdkugHsFh9gG_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/i23hGipndA86inx4t_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/i2t6XBtY8yvv7q48r_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/iHRXAi4vbkpfGfQi8_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/iSSmHbJ9Sc5qPmRvn_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/iY6dNPzPHjjdzdDcX_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/irnr5PbrKAQAg7taN_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/j4ze45RTh2vhT7Epm_inv1.als","CORRECT",false,false,false,false,false,true,true
