BOPEXPR_ONE_ARROW_ONE,Dummy for var,1,8
UNOPE_TRANSPOSE,UNOPE_CLOSURE,1,3
LIST_FORMULA_2,UNOPF_NOT,3,2
BOPEXPR_MINUS,Dummy for sig,1,309
UNOPE_CARDINALITY,Dummy for var,1,1
BOP_IFF,BOP_NOT_IN,2,3
LIST_FORMULA_1,UNOPF_NO,4,4
BOPEXPR_INTERSECT,iden,2,2
BOPEXPR_MINUS,BOPEXPR_PLUS,2,1
LIST_FORMULA_1,BOP_NOT_IN,2,156
UNOPE_PRIME,Dummy for var,1,55
LIST_FORMULA_1,LIST_FORMULA_2,2,11
QT_FORMULA,<END>,4,2548
BOPEXPR_PLUS,Dummy for sig,1,321
BOPEXPR_INTERSECT,BOPEXPR_ARROW,2,16
ITE_FORMULA,BOP_NEQ,3,1
BOP_UNTIL,UNOPF_SOME,2,87
BOP_IMPLIES,BOP_IN,1,1557
RELDECL_1,Dummy for var,3,66
LIST_FORMULA_1,<END>,6,14
BOP_NEQ,Dummy for var,1,266
UNOPE_ONE,BOPEXPR_PLUS,1,4
UNOPF_AFTER,BOP_NOT_IN,1,21
BOPEXPR_INTERSECT,UNOPE_CLOSURE,2,3
BOP_NEQ,Dummy for var,2,266
RELDECL_1,<END>,4,65
BOPEXPR_,BOPEXPR_PLUS,2,5
BOP_NOT_IN,BOPEXPR_PLUS,2,4
Dummy for ref,false,1,6
LIST_FORMULA_1,UNOPF_ONE,3,10
Dummy for ref,BOPEXPR_DOMAIN,1,3
BOPEXPR_INTERSECT,UNOPE_PRIME,1,4
BOP_IN,BOPEXPR_SOME_ARROW_ANY,2,2
LIST_FORMULA_2,BOP_NOT_IN,2,13
BOPEXPR_,Dummy for var,1,1
LIST_FORMULA_2,<END>,4,69
UNOPF_SOME,BOPEXPR_JOIN,1,2585
UNOPF_ONE,BOPEXPR_INTERSECT,1,3
UNOPF_NO,BOPEXPR_PLUS,1,32
LIST_FORMULA_1,BOP_NEQ,4,9
BOP_IMPLIES,LIST_FORMULA_2,1,20
BOP_NOT_IN,iden,1,2
BOP_IFF,UNOPF_NOT,2,4
UNOPF_HISTORICALLY,BOP_EQ,1,3
UNOPF_EVENTUALLY,UNOPF_ONE,1,3
Dummy for ref,LIST_FORMULA_1,1,380
UNOPF_ALWAYS,UNOPF_NO,1,71
BOPEXPR_MINUS,BOPEXPR_MINUS,2,2
BOP_IN,BOPEXPR_,2,8
BOP_IN,Dummy for field,1,24
LIST_FORMULA_2,<END>,3,488
BOPEXPR_DOMAIN,BOPEXPR_,2,2
LIST_FORMULA_1,UNOPF_NO,3,15
BOP_IMPLIES,UNOPF_ONE,2,9
LIST_FORMULA_2,QT_FORMULA,1,4
LIST_FORMULA_1,BOP_IN,5,8
BOP_NOT_IN,BOPEXPR_PLUS,1,1
BOP_UNTIL,BOP_IN,2,10
BOP_IFF,BOP_IN,2,2
ITE_FORMULA,BOP_EQ,2,5
BOPEXPR_INTERSECT,Dummy for field,1,4
BOP_EQ,BOPEXPR_MINUS,2,39
LIST_FORMULA_1,UNOPF_BEFORE,2,6
UNOPE_ONE,BOPEXPR_MINUS,1,24
BOP_SINCE,UNOPF_SOME,1,15
LIST_FORMULA_1,BOP_IN,3,163
UNOPF_ONE,Dummy for field,1,10
QT_FORMULA,ITE_FORMULA,1,6
BOPEXPR_INTERSECT,iden,1,18
BOP_IN,BOPEXPR_ANY_ARROW_LONE,2,3
BOPEXPR_JOIN,Dummy for ref,1,16
UNOPE_ONE,BOPEXPR_INTERSECT,1,16
QT_FORMULA,BOP_EQ,1,199
LIST_FORMULA_2,BOP_IMPLIES,4,2
BOP_IN,Dummy for field,2,7388
BOP_NOT_IN,BOPEXPR_INTERSECT,2,9
BOP_SINCE,UNOPF_EVENTUALLY,2,1
BOP_EQ,BOPEXPR_PLUS,1,2
BOPEXPR_ARROW,Dummy for var,2,7707
BOPEXPR_PLUS,BOPEXPR_ARROW,2,5
LIST_FORMULA_1,UNOPF_EVENTUALLY,1,2
BOP_IMPLIES,BOP_RELEASES,2,37
UNOPF_ALWAYS,UNOPF_ONE,1,8
BOP_NOT_IN,Dummy for field,1,1
BOPEXPR_INTERSECT,BOPEXPR_INTERSECT,1,2
RELDECL_0,<END>,5,116
BOPEXPR_ANY_ARROW_LONE,Dummy for sig,2,4
