relativePath,questionSet,statusFolder,invariantId,levenshteinDistance,rawAstDistance,canonicalDistance,levenshteinSize,rawAstSize,canonicalSize,levenshteinDistanceRatio,rawAstDistanceRatio,canonicalDistanceRatio,candidateReward,rewardError,rewardPoolSize,rewardErrorMessage
"classroom_fol/both/7mixmRjpTrTkQsFAW_inv15.als","classroom_fol","BOTH","inv15",25,15,12,70,29,16,0.357143,0.517241,0.750000,0.000000,1.000000,100,
"classroom_fol/both/7nEphmwWZPR2uQ9Av_inv14.als","classroom_fol","BOTH","inv14",56,35,11,122,45,23,0.459016,0.777778,0.478261,0.214200,0.785800,100,
"classroom_fol/both/7oMTSShGxR5jj4Tno_inv14.als","classroom_fol","BOTH","inv14",30,10,23,124,46,28,0.241935,0.217391,0.821429,0.504600,0.495400,100,
"classroom_fol/both/7obuMxLSjmTPe3DqJ_inv5.als","classroom_fol","BOTH","inv5",6,1,1,48,19,9,0.125000,0.052632,0.111111,0.990000,0.010000,100,
"classroom_fol/both/7pD2Qf2TfPbxYfTn7_inv14.als","classroom_fol","BOTH","inv14",44,17,16,45,20,10,0.977778,0.850000,1.600000,0.145000,0.855000,100,
"classroom_fol/both/7pubhyTo48QCAb4nJ_inv6.als","classroom_fol","BOTH","inv6",9,9,2,44,17,9,0.204545,0.529412,0.222222,0.350000,0.650000,100,
"classroom_fol/both/7r52hbuoCcdgSNKve_inv12.als","classroom_fol","BOTH","inv12",16,2,18,104,40,22,0.153846,0.050000,0.818182,0.008200,0.991800,100,
"classroom_fol/both/7wRCyDwGk3ef6v2tX_inv11.als","classroom_fol","BOTH","inv11",47,21,11,99,36,18,0.474747,0.583333,0.611111,0.630000,0.370000,100,
"classroom_fol/both/7xmE2GA6XQSHpApm2_inv9.als","classroom_fol","BOTH","inv9",21,10,10,48,19,12,0.437500,0.526316,0.833333,0.475200,0.524800,100,
"classroom_fol/both/83RWHQkLc3bdocWg4_inv12.als","classroom_fol","BOTH","inv12",36,23,9,67,27,11,0.537313,0.851852,0.818182,0.000000,1.000000,100,
"classroom_fol/both/844BRnyWit8hTKXgd_inv14.als","classroom_fol","BOTH","inv14",16,5,4,106,44,23,0.150943,0.113636,0.173913,0.020000,0.980000,100,
"classroom_fol/both/85tWoTeBhoEDhCKmw_inv14.als","classroom_fol","BOTH","inv14",31,41,7,131,48,23,0.236641,0.854167,0.304348,0.288100,0.711900,100,
"classroom_fol/both/86RqKPvH3ah3QiB7n_inv11.als","classroom_fol","BOTH","inv11",13,3,2,100,38,22,0.130000,0.078947,0.090909,0.010000,0.990000,100,
"classroom_fol/both/86uLKKfDKDKeHqZZS_inv11.als","classroom_fol","BOTH","inv11",42,14,11,90,36,18,0.466667,0.388889,0.611111,0.000000,1.000000,100,
"classroom_fol/both/89sJw8EcM2venQSdc_inv12.als","classroom_fol","BOTH","inv12",33,18,8,63,25,11,0.523810,0.720000,0.727273,0.079200,0.920800,100,
"classroom_fol/both/8DAkHpQCNR4mkJauL_inv12.als","classroom_fol","BOTH","inv12",28,9,10,104,37,18,0.269231,0.243243,0.555556,0.010000,0.990000,100,
"classroom_fol/both/8GxyRjTsQbiAn7z5P_inv15.als","classroom_fol","BOTH","inv15",50,20,16,77,27,19,0.649351,0.740741,0.842105,0.000000,1.000000,100,
"classroom_fol/both/8HS6Y7HQxcTajafeG_inv5.als","classroom_fol","BOTH","inv5",7,1,2,49,19,9,0.142857,0.052632,0.222222,0.990000,0.010000,100,
"classroom_fol/both/8L2aWJeexepGRgWbz_inv7.als","classroom_fol","BOTH","inv7",6,1,1,26,9,7,0.230769,0.111111,0.142857,0.000000,1.000000,100,
"classroom_fol/both/8M4PRjdLP9pkEKvSY_inv11.als","classroom_fol","BOTH","inv11",17,32,6,116,39,22,0.146552,0.820513,0.272727,0.010000,0.990000,100,
"classroom_fol/both/8QjsvnBcJ7LeYcuaY_inv12.als","classroom_fol","BOTH","inv12",24,4,11,103,38,18,0.233010,0.105263,0.611111,0.006500,0.993500,100,
"classroom_fol/both/8W6kBSFpM9mhFauuN_inv14.als","classroom_fol","BOTH","inv14",36,40,22,126,48,24,0.285714,0.833333,0.916667,0.202400,0.797600,100,
"classroom_fol/both/8b7mfqJxG9aXg8Deb_inv13.als","classroom_fol","BOTH","inv13",8,1,2,88,28,17,0.090909,0.035714,0.117647,0.000000,1.000000,100,
"classroom_fol/both/8ca2p9HKZqMxpBYg7_inv11.als","classroom_fol","BOTH","inv11",47,19,11,91,38,19,0.516484,0.500000,0.578947,0.010000,0.990000,100,
"classroom_fol/both/8dTfKqTs26w6fL87K_inv15.als","classroom_fol","BOTH","inv15",58,23,17,86,26,19,0.674419,0.884615,0.894737,0.360000,0.640000,100,
"classroom_fol/both/8euoFSiicCrJtynXS_inv8.als","classroom_fol","BOTH","inv8",23,14,8,96,32,16,0.239583,0.437500,0.500000,0.480000,0.520000,100,
"classroom_fol/both/8fEbSFk4DTWfjtgTC_inv11.als","classroom_fol","BOTH","inv11",28,21,15,69,27,11,0.405797,0.777778,1.363636,0.260100,0.739900,100,
"classroom_fol/both/8gRzMiQQxdjX3Co6W_inv4.als","classroom_fol","BOTH","inv4",4,1,1,45,14,8,0.088889,0.071429,0.125000,0.000000,1.000000,100,
"classroom_fol/both/8udq8t54Ez3v3oLoW_inv11.als","classroom_fol","BOTH","inv11",30,7,4,92,38,23,0.326087,0.184211,0.173913,0.145000,0.855000,100,
"classroom_fol/both/8xgLHiB9CaiABRZ8J_inv12.als","classroom_fol","BOTH","inv12",37,19,8,67,25,11,0.552239,0.760000,0.727273,0.418200,0.581800,100,
"classroom_fol/both/94LZ4wpmqgQfJBu4q_inv11.als","classroom_fol","BOTH","inv11",45,27,15,91,36,19,0.494505,0.750000,0.789474,0.010000,0.990000,100,
"classroom_fol/both/97dXNrJZYvLq5NRmQ_inv14.als","classroom_fol","BOTH","inv14",43,17,15,41,18,9,1.048780,0.944444,1.666667,0.145000,0.855000,100,
"classroom_fol/both/97kcMhA5kWssQhGfG_inv14.als","classroom_fol","BOTH","inv14",17,3,18,104,42,24,0.163462,0.071429,0.750000,0.517000,0.483000,100,
"classroom_fol/both/98dYRRn7nwrAXP6Jw_inv15.als","classroom_fol","BOTH","inv15",18,11,6,29,11,6,0.620690,1.000000,1.000000,0.000000,1.000000,100,
"classroom_fol/both/99NtbFuxxmyPaXvPb_inv11.als","classroom_fol","BOTH","inv11",33,12,13,36,15,8,0.916667,0.800000,1.625000,0.000000,1.000000,100,
"classroom_fol/both/99tGfP9cmrTqrezRz_inv11.als","classroom_fol","BOTH","inv11",47,27,16,91,36,19,0.516484,0.750000,0.842105,0.000000,1.000000,100,
